s.entity_en,type(r),t.entity_en
Motor nerve,ANATOMY_DISEASE,Motor nerve axonal damage
Axon,ANATOMY_DISEASE,Motor nerve axonal damage
Quantitative sensory testing,TEST_DISEASE,DPN
Quantitative sensory testing,TEST_DISEASE,Small fiber neuropathy
Quantitative sensory testing,TEST_DISEASE,Diabetic autonomic neuropathy
Small fiber nerves,ANATOMY_DISEASE,Small fiber neuropathy
Small fiber nerves,ANATOMY_DISEASE,Small fiber neuropathy
Heart rate variability measurement,TEST_DISEASE,Peripheral neuropathy
Small Fiber,ANATOMY_DISEASE,Myocardial infarction
Small Fiber,ANATOMY_DISEASE,Peripheral neuropathy
Small Fiber,ANATOMY_DISEASE,Angina
Imaging tests,TEST_DISEASE,Nerve root or plexus disease
Imaging tests,TEST_DISEASE,Spine and spinal canal lesions
Imaging tests,TEST_DISEASE,Pelvic space-occupying lesions
Imaging tests,TEST_DISEASE,Diabetic foot
Imaging tests,TEST_DISEASE,Lower extremity vascular disease
Nerve root or plexus,ANATOMY_DISEASE,Nerve root or plexus disease
spine,ANATOMY_DISEASE,Spine and spinal canal lesions
Intrapelvic,ANATOMY_DISEASE,Pelvic space-occupying lesions
Intraspinal,ANATOMY_DISEASE,Spine and spinal canal lesions
Skin biopsy,TEST_DISEASE,Diabetic autonomic neuropathy
Skin biopsy,TEST_DISEASE,Small fiber neuropathy
Nerve biopsy,TEST_DISEASE,DPN
B-ultrasound,TEST_DISEASE,Difficulty urinating
B-ultrasound,TEST_DISEASE,gout
Urodynamics,TEST_DISEASE,Difficulty urinating
Bladder residual urine,TEST_ITEMS_DISEASE,Difficulty urinating
Multiple symmetry,CLASS_DISEASE,Multiple symmetrical peripheral neuropathy
Focal asymmetry,CLASS_DISEASE,Focal asymmetric peripheral neuropathy
Distal symmetric multiple,CLASS_DISEASE,Distal symmetrical polyneuropathy
Both lower limbs,ANATOMY_DISEASE,Synchronous ischemic vascular lesions in both lower limbs
Gastrointestinal symptoms,SYMPTOM_DISEASE,Diabetic autonomic neuropathy
Sexual dysfunction,SYMPTOM_DISEASE,Diabetic autonomic neuropathy
Orthostatic hypotension,SYMPTOM_DISEASE,Diabetic autonomic neuropathy
Resting tachycardia,SYMPTOM_DISEASE,Diabetic autonomic neuropathy
Heart,ANATOMY_DISEASE,Coronary heart disease
Heart,ANATOMY_DISEASE,Angina
Heart,ANATOMY_DISEASE,Severe arrhythmia
Heart,ANATOMY_DISEASE,Congestive heart failure
Heart,ANATOMY_DISEASE,Heart failure
Heart,ANATOMY_DISEASE,Grade III-IV congestive heart failure
Heart,ANATOMY_DISEASE,Congestive heart failure (CHF)
Heart,ANATOMY_DISEASE,Heart and lung diseases
Heart,ANATOMY_DISEASE,Arrhythmias
Heart,ANATOMY_DISEASE,Unstable angina
Heart,ANATOMY_DISEASE,Unstable angina
Heart,ANATOMY_DISEASE,Chronic heart failure
Heart,ANATOMY_DISEASE,Acute heart failure
Heart,ANATOMY_DISEASE,Decompensated heart failure
Heart,ANATOMY_DISEASE,"Liver, kidney, heart and lung dysfunction"
Heart,ANATOMY_DISEASE,Heart failure
Heart,ANATOMY_DISEASE,Chronic heart failure
Heart,ANATOMY_DISEASE,HUA
Heart,ANATOMY_DISEASE,Abnormal cardiopulmonary function
Heart,ANATOMY_DISEASE,Decreased cardiopulmonary function
Heart,ANATOMY_DISEASE,Heart failure
Heart,ANATOMY_DISEASE,People with heart failure
Heart,ANATOMY_DISEASE,Acute and chronic heart failure
Heart,ANATOMY_DISEASE,Acute decompensated heart failure
Heart,ANATOMY_DISEASE,Severe heart failure
Heart,ANATOMY_DISEASE,Chronic stable angina
Heart,ANATOMY_DISEASE,Non-fatal myocardial infarction
Heart,ANATOMY_DISEASE,Heart function NYHA class Ⅲ-Ⅳ
Heart,ANATOMY_DISEASE,Heart function NYHA II~IV
Heart,ANATOMY_DISEASE,Heart function NYHA class II~III
Median nerve,ANATOMY_DISEASE,Diabetic mononeuropathy
Median nerve,ANATOMY_DISEASE,Multiple mononeuropathy
Ulnar nerve,ANATOMY_DISEASE,Diabetic mononeuropathy
Ulnar nerve,ANATOMY_DISEASE,Multiple mononeuropathy
Common peroneal nerve,ANATOMY_DISEASE,Diabetic mononeuropathy
Common peroneal nerve,ANATOMY_DISEASE,Multiple mononeuropathy
Abducens nerve,ANATOMY_DISEASE,Cranial Neuropathy
Facial nerve,ANATOMY_DISEASE,Cranial Neuropathy
Nerve roots,ANATOMY_DISEASE,Diabetic radiculoplexopathy
Nerve roots,ANATOMY_DISEASE,Nerve root or plexus disease
Nerve roots,ANATOMY_DISEASE,Nerve root compression
Nerve plexus,ANATOMY_DISEASE,Diabetic radiculoplexopathy
Nerve plexus,ANATOMY_DISEASE,Nerve root or plexus disease
Diabetic,CLASS_DISEASE,Diabetic amyotrophy
muscle,ANATOMY_DISEASE,Diabetic amyotrophy
muscle,ANATOMY_DISEASE,Muscular atrophy
muscle,ANATOMY_DISEASE,Myopathy
Painful,CLASS_DISEASE,Muscular atrophy
Lumbar sacral nerve root plexus distribution,ANATOMY_DISEASE,diabetes
Lumbar sacral nerve root plexus distribution,ANATOMY_DISEASE,Diabetic radiculoplexopathy
Lumbar sacral nerve root plexus distribution,ANATOMY_DISEASE,Diabetic amyotrophy
Lumbar sacral nerve root plexus distribution,ANATOMY_DISEASE,Muscular atrophy
Impaired glucose tolerance,PATHOGENESIS_DISEASE,Peripheral neuropathy
Impaired glucose tolerance,PATHOGENESIS_DISEASE,Prediabetic peripheral neuropathy
Impaired fasting glucose,PATHOGENESIS_DISEASE,diabetes
Impaired fasting glucose,PATHOGENESIS_DISEASE,Peripheral neuropathy
Impaired fasting glucose,PATHOGENESIS_DISEASE,Prediabetic peripheral neuropathy
Significant limb weakness,SYMPTOM_DISEASE,DPN
Significant limb weakness,SYMPTOM_DISEASE,Peripheral neuropathy
Neurophysiology,TEST_DISEASE,DPN
Neurophysiology,TEST_DISEASE,Peripheral neuropathy
Chronic inflammatory demyelinating multiple,CLASS_DISEASE,Chronic inflammatory demyelinating polyradiculoneuropathy
Nerve root peripheral nerve,ANATOMY_DISEASE,Chronic inflammatory demyelinating polyradiculoneuropathy
thyroid,ANATOMY_DISEASE,Hypothyroidism
thyroid,ANATOMY_DISEASE,Medullary thyroid cancer (MTC)
thyroid,ANATOMY_DISEASE,Hypothyroidism
thyroid,ANATOMY_DISEASE,Hypothyroidism
thyroid,ANATOMY_DISEASE,Hyperthyroidism
Connective tissue,ANATOMY_DISEASE,Connective tissue diseases
Alpha-lipoic acid,DRUG_DISEASE,DPN
Aldose reductase inhibitors,DRUG_DISEASE,DPN
Methylcobalamin,DRUG_DISEASE,Neuropathy
Methylcobalamin,DRUG_DISEASE,Diabetic peripheral neuropathy
Amitriptyline,DRUG_DISEASE,Painful peripheral neuropathy
Gabapentin,DRUG_DISEASE,Painful peripheral neuropathy
Pregabalin,DRUG_DISEASE,Painful peripheral neuropathy
Duloxetine,DRUG_DISEASE,Painful peripheral neuropathy
Venlafaxine,DRUG_DISEASE,Painful peripheral neuropathy
Stomach,ANATOMY_DISEASE,Decreased gastrointestinal emptying function
Stomach,ANATOMY_DISEASE,Gastrointestinal disorders
Intestinal,ANATOMY_DISEASE,Decreased gastrointestinal emptying function
Intestinal,ANATOMY_DISEASE,Gastrointestinal disorders
Uprightness,CLASS_DISEASE,Orthostatic hypotension
Compression stockings,TREATMENT_DISEASE,Orthostatic hypotension
Lifestyle changes,TREATMENT_DISEASE,diabetes
Lifestyle changes,TREATMENT_DISEASE,Diabetic nephropathy
Lifestyle changes,TREATMENT_DISEASE,hypertension
Lifestyle changes,TREATMENT_DISEASE,Hyperlipidemia
Lifestyle changes,TREATMENT_DISEASE,High blood sugar
Weight control,TREATMENT_DISEASE,diabetes
Weight control,TREATMENT_DISEASE,Diabetic nephropathy
Weight control,TREATMENT_DISEASE,hypertension
Weight control,TREATMENT_DISEASE,Hyperlipidemia
Avoid smoking and excessive drinking,TREATMENT_DISEASE,hypertension
Avoid smoking and excessive drinking,TREATMENT_DISEASE,Hyperlipidemia
Glucagon-like peptide 1 (GLP-1) receptor agonists,DRUG_DISEASE,diabetes
Dipeptidyl peptidase IV (DPP-4) inhibitors,DRUG_DISEASE,diabetes
Incretin drugs,DRUG_DISEASE,diabetes
Intravenous injection,METHOD_DRUG,glucose
Intravenous injection,METHOD_DRUG,50% Glucose
glucose,DRUG_DISEASE,diabetes
glucose,DRUG_DISEASE,Hypoglycemia
Systolic blood pressure,TEST_DISEASE,Albuminuria
Systolic blood pressure,TEST_DISEASE,Diabetic chronic kidney disease (CKD)
Blood lipids,TEST_DISEASE,Type 2 diabetes
Blood lipids,TEST_DISEASE,diabetes
Blood lipids,TEST_DISEASE,Diabetic nephropathy
Blood lipids,TEST_DISEASE,CVD
Blood lipids,TEST_DISEASE,T2DM
Blood lipids,TEST_DISEASE,T1DM
Blood lipids,TEST_DISEASE,Type 2 diabetes mellitus (T2DM)
Blood lipids,TEST_DISEASE,ASCVD
Blood lipids,TEST_DISEASE,Abnormal liver function
Blood lipids,TEST_DISEASE,Liver disease
Blood lipids,TEST_DISEASE,Chronic Kidney Disease (CKD)
Blood lipids,TEST_DISEASE,Fatal and nonfatal myocardial infarction
Blood lipids,TEST_DISEASE,Atherosclerotic cardiovascular disease
Blood lipids,TEST_DISEASE,Chronic kidney disease
GLP-1 receptor agonists,DRUG_DISEASE,Type 2 diabetes
GLP-1 receptor agonists,DRUG_DISEASE,obesity
GLP-1 receptor agonists,DRUG_DISEASE,overweight
GLP-1 receptor agonists,DRUG_DISEASE,High blood sugar
DPP-4 inhibitors,DRUG_DISEASE,Type 2 diabetes
DPP-4 inhibitors,DRUG_DISEASE,diabetes
DPP-4 inhibitors,DRUG_DISEASE,Cardiovascular disease
DPP-4 inhibitors,DRUG_DISEASE,obesity
DPP-4 inhibitors,DRUG_DISEASE,overweight
DPP-4 inhibitors,DRUG_DISEASE,Type 1 diabetes
DPP-4 inhibitors,DRUG_DISEASE,Hepatic insufficiency
DPP-4 inhibitors,DRUG_DISEASE,Renal insufficiency
DPP-4 inhibitors,DRUG_DISEASE,T2DM
DPP-4 inhibitors,DRUG_DISEASE,Impaired liver function
DPP-4 inhibitors,DRUG_DISEASE,Cardiovascular events
DPP-4 inhibitors,DRUG_DISEASE,Insulin resistance
DPP-4 inhibitors,DRUG_DISEASE,Mild to moderate liver impairment
Exenatide,DRUG_DISEASE,Type 2 diabetes
Exenatide,DRUG_DISEASE,Acute pancreatitis
Exenatide,DRUG_DISEASE,T2DM
Exenatide,DRUG_DISEASE,CKD stage 4-5
Inject twice a day,FREQUENCY_DRUG,Exenatide
Once a day,FREQUENCY_DRUG,Lixisenatide
Once a day,FREQUENCY_DRUG,Liraglutide
Liraglutide,DRUG_DISEASE,Type 2 diabetes
Liraglutide,DRUG_DISEASE,diabetes
Liraglutide,DRUG_DISEASE,Acute pancreatitis
Liraglutide,DRUG_DISEASE,Congestive heart failure
Liraglutide,DRUG_DISEASE,T2DM
Liraglutide,DRUG_DISEASE,CKD
Liraglutide,DRUG_DISEASE,ASCVD
Liraglutide,DRUG_DISEASE,CKD stage 1-2
Once a week,FREQUENCY_DRUG,Exenatide weekly preparation
Once a week,FREQUENCY_DRUG,Albiglutide
Once a week,FREQUENCY_DRUG,Dulaglutide
Subcutaneous injection,METHOD_DRUG,insulin
Subcutaneous injection,METHOD_DRUG,Exenatide
Subcutaneous injection,METHOD_DRUG,Liraglutide
Subcutaneous injection,METHOD_DRUG,Basal insulin
Subcutaneous injection,METHOD_DRUG,Insulin glargine
Subcutaneous injection,METHOD_DRUG,Regular insulin
Subcutaneous injection,METHOD_DRUG,Short-acting insulin
Subcutaneous injection,METHOD_DRUG,Intermediate- and long-acting insulin
Subcutaneous injection,METHOD_DRUG,Rapid-acting insulin
Subcutaneous injection,METHOD_DRUG,Basal insulin
Subcutaneous injection,METHOD_DRUG,Rapid-acting insulin analogs
Subcutaneous injection,METHOD_DRUG,Premixed insulin
Subcutaneous injection,METHOD_DRUG,Short-acting or rapid-acting insulin
Subcutaneous injection,METHOD_DRUG,Human insulin
Thiazolidinediones,DRUG_DISEASE,diabetes
Thiazolidinediones,DRUG_DISEASE,NAFLD
Thiazolidinediones,DRUG_DISEASE,Severe heart failure
Basal insulin,DRUG_DISEASE,Type 2 diabetes
Basal insulin,DRUG_DISEASE,diabetes
Basal insulin,DRUG_DISEASE,T2DM
Basal insulin,DRUG_DISEASE,Metabolic abnormalities
indigestion,ADE_DRUG,Metformin
indigestion,ADE_DRUG,GLP-1 receptor agonists
indigestion,ADE_DRUG,Statins
Decreased appetite,ADE_DRUG,GLP-1 receptor agonists
Decreased appetite,ADE_DRUG,Probenecid
Acute pancreatitis,ADE_DRUG,Exenatide
Acute pancreatitis,ADE_DRUG,Liraglutide
pancreas,ANATOMY_DISEASE,Acute pancreatitis
pancreas,ANATOMY_DISEASE,Pancreatic cancer
pancreas,ANATOMY_DISEASE,pancreatitis
Abdominal gland,ANATOMY_DISEASE,Abdominal gland inflammation
Terminal stage,CLASS_DISEASE,Kidney disease
Terminal stage,CLASS_DISEASE,End-stage renal disease
Terminal stage,CLASS_DISEASE,End-stage renal disease
Terminal stage,CLASS_DISEASE,End-stage renal disease (ESRD)
Terminal stage,CLASS_DISEASE,End-stage renal failure
Terminal stage,CLASS_DISEASE,Renal failure
Terminal stage,CLASS_DISEASE,End stage renal disease (ESRD)
Terminal stage,CLASS_DISEASE,End-stage renal disease (ESRD)
Creatinine clearance,TEST_ITEMS_DISEASE,Kidney disease
Creatinine clearance,TEST_ITEMS_DISEASE,Renal insufficiency
Creatinine clearance,TEST_ITEMS_DISEASE,End-stage renal disease
Creatinine clearance,TEST_ITEMS_DISEASE,Severe renal insufficiency
Creatinine clearance,TEST_ITEMS_DISEASE,Moderate to severe renal insufficiency
Changes in renal function,ADE_DRUG,Exenatide
Grade I-II,CLASS_DISEASE,Congestive heart failure
Grade III-IV,CLASS_DISEASE,Congestive heart failure
Grade III-IV,CLASS_DISEASE,Grade III-IV congestive heart failure
Grade III-IV,CLASS_DISEASE,Heart function NYHA class Ⅲ-Ⅳ
Congestive,CLASS_DISEASE,Congestive heart failure
Congestive,CLASS_DISEASE,Grade III-IV congestive heart failure
Congestive,CLASS_DISEASE,Congestive heart failure (CHF)
allergy,ADE_DRUG,GLP-1 receptor agonists
allergy,ADE_DRUG,Metformin Hydrochloride
allergy,ADE_DRUG,aspirin
Alogliptin,DRUG_DISEASE,Type 2 diabetes
Alogliptin,DRUG_DISEASE,Renal insufficiency
Alogliptin,DRUG_DISEASE,End-stage renal disease
Alogliptin,DRUG_DISEASE,Cardiovascular disease (CVD)
Alogliptin,DRUG_DISEASE,Heart failure
Alogliptin,DRUG_DISEASE,Impaired renal function
Alogliptin,DRUG_DISEASE,Renal function
Alogliptin,DRUG_DISEASE,End-stage renal failure
Alogliptin,DRUG_DISEASE,CVD
Alogliptin,DRUG_DISEASE,T2DM
Alogliptin,DRUG_DISEASE,ACS
Alogliptin,DRUG_DISEASE,Renal failure
Saxagliptin,DRUG_DISEASE,Type 2 diabetes
Saxagliptin,DRUG_DISEASE,diabetes
Saxagliptin,DRUG_DISEASE,Hepatic insufficiency
Saxagliptin,DRUG_DISEASE,Renal insufficiency
Saxagliptin,DRUG_DISEASE,Congestive heart failure
Saxagliptin,DRUG_DISEASE,Cardiovascular disease (CVD)
Saxagliptin,DRUG_DISEASE,Heart failure
Saxagliptin,DRUG_DISEASE,Skin complications of diabetes
Saxagliptin,DRUG_DISEASE,CVD
Saxagliptin,DRUG_DISEASE,T2DM
Saxagliptin,DRUG_DISEASE,CKD
Saxagliptin,DRUG_DISEASE,CKD stage 1-2
Glycated hemoglobin (HbA1c),TEST_ITEMS_DISEASE,Type 2 diabetes
Glycated hemoglobin (HbA1c),TEST_ITEMS_DISEASE,diabetes
Glycated hemoglobin (HbA1c),TEST_ITEMS_DISEASE,Cardiovascular events
Vildagliptin,DRUG_DISEASE,Type 2 diabetes
Vildagliptin,DRUG_DISEASE,Renal insufficiency
Vildagliptin,DRUG_DISEASE,Congestive heart failure
Vildagliptin,DRUG_DISEASE,Type 2 diabetes
Vildagliptin,DRUG_DISEASE,Skin complications of diabetes
Vildagliptin,DRUG_DISEASE,T2DM
Vildagliptin,DRUG_DISEASE,CKD
Vildagliptin,DRUG_DISEASE,Liver dysfunction
Vildagliptin,DRUG_DISEASE,hepatitis
Vildagliptin,DRUG_DISEASE,CKD stage 1-2
Acarbose,DRUG_DISEASE,Type 2 diabetes
Acarbose,DRUG_DISEASE,diabetes
Acarbose,DRUG_DISEASE,overweight
Acarbose,DRUG_DISEASE,Type 2 diabetes
Acarbose,DRUG_DISEASE,T2DM
Acarbose,DRUG_DISEASE,Cardiovascular events
Acarbose,DRUG_DISEASE,High blood sugar
Acarbose,DRUG_DISEASE,Chronic kidney disease
Acarbose,DRUG_DISEASE,CKD stage 1-3
Sitagliptin,DRUG_DISEASE,Type 2 diabetes
Sitagliptin,DRUG_DISEASE,Kidney disease
Sitagliptin,DRUG_DISEASE,Hepatic insufficiency
Sitagliptin,DRUG_DISEASE,Renal insufficiency
Sitagliptin,DRUG_DISEASE,End-stage renal disease
Sitagliptin,DRUG_DISEASE,Moderate to severe renal insufficiency
Sitagliptin,DRUG_DISEASE,T2DM
Sitagliptin,DRUG_DISEASE,CKD
Sitagliptin,DRUG_DISEASE,Cardiovascular events
Sitagliptin,DRUG_DISEASE,Chronic kidney disease
Diet control,TREATMENT_DISEASE,Type 2 diabetes
Diet control,TREATMENT_DISEASE,diabetes
Diet control,TREATMENT_DISEASE,T2DM
Diet control,TREATMENT_DISEASE,IFG
Diet control,TREATMENT_DISEASE,Prediabetes
Diet control,TREATMENT_DISEASE,GT
sports,TREATMENT_DISEASE,Type 2 diabetes
sports,TREATMENT_DISEASE,diabetes
sports,TREATMENT_DISEASE,Diabetic nephropathy
sports,TREATMENT_DISEASE,obesity
sports,TREATMENT_DISEASE,Type 1 diabetes
sports,TREATMENT_DISEASE,GDM
sports,TREATMENT_DISEASE,PCOS
sports,TREATMENT_DISEASE,Type 1 diabetes microangiopathy
diet,TREATMENT_DISEASE,Type 2 diabetes
diet,TREATMENT_DISEASE,GDM
diet,TREATMENT_DISEASE,PCOS
diet,TREATMENT_DISEASE,High blood sugar
Linagliptin,DRUG_DISEASE,Type 2 diabetes
Linagliptin,DRUG_DISEASE,Hepatic insufficiency
Linagliptin,DRUG_DISEASE,Renal insufficiency
Linagliptin,DRUG_DISEASE,T2DM
Linagliptin,DRUG_DISEASE,CKD
Linagliptin,DRUG_DISEASE,Chronic kidney disease
Linagliptin,DRUG_DISEASE,CKD stages 1 to 4
Linagliptin,DRUG_DISEASE,CKD stage 4-5
Nasopharyngitis,ADE_DRUG,DPP-4 inhibitors
Upper respiratory tract infection,ADE_DRUG,DPP-4 inhibitors
Hypersensitivity reactions,ADE_DRUG,Saxagliptin
Hypersensitivity reactions,ADE_DRUG,Sitagliptin
Hypersensitivity reactions,ADE_DRUG,Allopurinol
Hypersensitivity reactions,ADE_DRUG,Thiazide diuretics
Hypersensitivity reactions,ADE_DRUG,Purinol
Elevated liver enzymes,ADE_DRUG,Fenofibrate
Elevated liver enzymes,ADE_DRUG,Statins
Saxagliptin,REASON_DISEASE,Heart failure
Moderate to severe,CLASS_DISEASE,Moderate to severe renal insufficiency
Dialysis,TREATMENT_DISEASE,Diabetic nephropathy
Dialysis,TREATMENT_DISEASE,Kidney disease
Dialysis,TREATMENT_DISEASE,Renal insufficiency
Dialysis,TREATMENT_DISEASE,End-stage renal disease
Dialysis,TREATMENT_DISEASE,CKD
Dialysis,TREATMENT_DISEASE,CKD stage 5
Dialysis,TREATMENT_DISEASE,ESRD
Dialysis,TREATMENT_DISEASE,CKD stage 4-5
Dialysis,TREATMENT_DISEASE,CKD stage 3-4
Dialysis,TREATMENT_DISEASE,CKD stage 3 and 4
Hemodialysis,TREATMENT_DISEASE,Diabetic nephropathy
Hemodialysis,TREATMENT_DISEASE,Kidney disease
Hemodialysis,TREATMENT_DISEASE,Renal insufficiency
Hemodialysis,TREATMENT_DISEASE,End-stage renal disease (ESRD)
2.5mg,AMOUNT_DRUG,Saxagliptin
1 time per day,FREQUENCY_DRUG,insulin
1 time per day,FREQUENCY_DRUG,Sulfonylureas
1 time per day,FREQUENCY_DRUG,Basal insulin
1 time per day,FREQUENCY_DRUG,Saxagliptin
1 time per day,FREQUENCY_DRUG,Sitagliptin
1 time per day,FREQUENCY_DRUG,Premixed insulin analogs
1 time per day,FREQUENCY_DRUG,Febuxostat
1 time per day,FREQUENCY_DRUG,Premixed insulin
One-quarter of the recommended amount,AMOUNT_DRUG,Alogliptin
Halve the recommended dose,AMOUNT_DRUG,Alogliptin
Renal function,TEST_DISEASE,Type 2 diabetes
Renal function,TEST_DISEASE,diabetes
Renal function,TEST_DISEASE,Diabetic nephropathy
Renal function,TEST_DISEASE,Kidney disease
Renal function,TEST_DISEASE,Renal insufficiency
Renal function,TEST_DISEASE,End-stage renal disease
Renal function,TEST_DISEASE,Impaired renal function
Renal function,TEST_DISEASE,CKD
Renal function,TEST_DISEASE,Abnormal renal function
Renal function,TEST_DISEASE,Chronic heart failure
Renal function,TEST_DISEASE,Lactic acidosis
Renal function,TEST_DISEASE,Chronic kidney disease
Renal function,TEST_DISEASE,Kidney damage
Renal function,TEST_DISEASE,Type 2 diabetic nephropathy
Liver dysfunction,ADE_DRUG,Vildagliptin
hepatitis,ADE_DRUG,Vildagliptin
Liver function,TEST_DISEASE,Liver damage
Severe hypersensitivity reactions,ADE_DRUG,Alogliptin
Severe hypersensitivity reactions,ADE_DRUG,Saxagliptin
Severe hypersensitivity reactions,ADE_DRUG,Sitagliptin
Allergic reactions,ADE_DRUG,Alogliptin
Allergic reactions,ADE_DRUG,Sitagliptin
Angioedema,ADE_DRUG,Alogliptin
Angioedema,ADE_DRUG,Saxagliptin
Angioedema,ADE_DRUG,Sitagliptin
Angioedema,ADE_DRUG,Linagliptin
Desquamative skin lesions,ADE_DRUG,Sitagliptin
Stevens-Johnson syndrome,ADE_DRUG,Sitagliptin
Skin damage,ADE_DRUG,Saxagliptin
Skin damage,ADE_DRUG,Vildagliptin
Skin damage on the limbs,ADE_DRUG,Saxagliptin
Skin damage on the limbs,ADE_DRUG,Vildagliptin
skin,ANATOMY_DISEASE,Skin complications of diabetes
skin,ANATOMY_DISEASE,Skin lesions
Severe allergic reactions,ADE_DRUG,Alogliptin
Severe skin adverse reactions,ADE_DRUG,Alogliptin
Allergic reaction,ADE_DRUG,Alogliptin
Allergic reaction,ADE_DRUG,Saxagliptin
Hypersensitivity reactions,ADE_DRUG,Linagliptin
Urticaria,ADE_DRUG,Linagliptin
Local skin peeling,ADE_DRUG,Linagliptin
Bronchial hypersensitivity reaction,ADE_DRUG,Linagliptin
2.5 mg/day,AMOUNT_DRUG,Saxagliptin
2.5 mg/day,AMOUNT_DRUG,Dapagliflozin
GLP-1 glucose-lowering drugs,DRUG_DISEASE,Type 2 diabetes
GLP-1 glucose-lowering drugs,DRUG_DISEASE,diabetes
T2,CLASS_DISEASE,T2DM
T2,CLASS_DISEASE,Type 2 diabetes mellitus (T2DM)
T2,CLASS_DISEASE,T2DDM
T2,CLASS_DISEASE,Elderly T2DM
T2,CLASS_DISEASE,Patients with T2DM
Gastrointestinal reactions,ADE_DRUG,Metformin
Gastrointestinal reactions,ADE_DRUG,DPP-4 inhibitors
Gastrointestinal reactions,ADE_DRUG,Colchicine
Damage to liver and kidney function,ADE_DRUG,Metformin
Lactic acidosis,ADE_DRUG,Metformin
FPG,TEST_ITEMS_DISEASE,Type 2 diabetes
FPG,TEST_ITEMS_DISEASE,diabetes
FPG,TEST_ITEMS_DISEASE,overweight
FPG,TEST_ITEMS_DISEASE,T2DM
FPG,TEST_ITEMS_DISEASE,IFG
FPG,TEST_ITEMS_DISEASE,GDM
FPG,TEST_ITEMS_DISEASE,IGT
FPG,TEST_ITEMS_DISEASE,Cardiovascular events
FPG,TEST_ITEMS_DISEASE,High blood sugar
PPG,TEST_ITEMS_DISEASE,Type 2 diabetes
PPG,TEST_ITEMS_DISEASE,diabetes
PPG,TEST_ITEMS_DISEASE,Cardiovascular disease
PPG,TEST_ITEMS_DISEASE,Hypoglycemia
PPG,TEST_ITEMS_DISEASE,T2DM
PPG,TEST_ITEMS_DISEASE,Cardiovascular events
PPG,TEST_ITEMS_DISEASE,High blood sugar
PPG,TEST_ITEMS_DISEASE,Chronic complications of diabetes
PPG,TEST_ITEMS_DISEASE,Chronic complications of diabetes
2000 mg/day,AMOUNT_DRUG,Metformin
Abdominal,CLASS_DISEASE,Abdominal obesity
Early stage,CLASS_DISEASE,Prediabetes
Early stage,CLASS_DISEASE,"Impaired glucose regulation (IGR, i.e. prediabetes)"
Lifestyle interventions,TREATMENT_DISEASE,Type 2 diabetes
Lifestyle interventions,TREATMENT_DISEASE,diabetes
Lifestyle interventions,TREATMENT_DISEASE,Diabetic nephropathy
Lifestyle interventions,TREATMENT_DISEASE,obesity
Lifestyle interventions,TREATMENT_DISEASE,overweight
Lifestyle interventions,TREATMENT_DISEASE,Coronary heart disease
Lifestyle interventions,TREATMENT_DISEASE,Acute pancreatitis
Lifestyle interventions,TREATMENT_DISEASE,T2DM
Lifestyle interventions,TREATMENT_DISEASE,IFG
Lifestyle interventions,TREATMENT_DISEASE,Prediabetes
Lifestyle interventions,TREATMENT_DISEASE,GT
Lifestyle interventions,TREATMENT_DISEASE,GDM
Lifestyle interventions,TREATMENT_DISEASE,PCOS
Lifestyle interventions,TREATMENT_DISEASE,IGT
Lifestyle interventions,TREATMENT_DISEASE,ASCVD
Lifestyle interventions,TREATMENT_DISEASE,High blood sugar
IR,PATHOGENESIS_DISEASE,diabetes
IR,PATHOGENESIS_DISEASE,T2DM
IR,PATHOGENESIS_DISEASE,GDM
IR,PATHOGENESIS_DISEASE,PCOS
IR,PATHOGENESIS_DISEASE,NAFLD
GLP-1,TEST_ITEMS_DISEASE,diabetes
Insulin sensitizers,DRUG_DISEASE,NAFLD
500 mg/day,AMOUNT_DRUG,Metformin
2550 mg/day,AMOUNT_DRUG,Metformin
1000 or 1500 mg/day,AMOUNT_DRUG,Metformin
500–2000 mg/day,AMOUNT_DRUG,Metformin
1000 mg/day,AMOUNT_DRUG,Metformin
1000mg,AMOUNT_DRUG,Metformin
2 times/day,FREQUENCY_DRUG,Metformin
2 times/day,FREQUENCY_DRUG,Sarpogrelate hydrochloride
2 times/day,FREQUENCY_DRUG,Cilostazol
3 times/day,FREQUENCY_DRUG,Metformin
3 times/day,FREQUENCY_DRUG,Beraprost Sodium
Take with or immediately after a meal,METHOD_DRUG,Metformin
1 time/day,FREQUENCY_DRUG,Metformin
1 time/day,FREQUENCY_DRUG,Clopidogrel bisulfate
500mg,AMOUNT_DRUG,Metformin
Take with or immediately after dinner,METHOD_DRUG,Metformin
Insulin glargine,DRUG_DISEASE,diabetes
Insulin glargine,DRUG_DISEASE,T2DM
Insulin glargine,DRUG_DISEASE,IFG
Insulin glargine,DRUG_DISEASE,IGT
Insulin glargine,DRUG_DISEASE,DKD
Raised LDL-C,ADE_DRUG,Metformin
Raised LDL-C,ADE_DRUG,Thiazolidinediones
Raised LDL-C,ADE_DRUG,TZD
Alpha-glucosidase inhibitors,DRUG_DISEASE,Type 2 diabetes
Gastrointestinal discomfort,ADE_DRUG,Metformin
Gastrointestinal discomfort,ADE_DRUG,α-Glucosidase inhibitors
Gastrointestinal effects,ADE_DRUG,Metformin
Gastrointestinal effects,ADE_DRUG,DPP-4 inhibitors
500~2000mg,AMOUNT_DRUG,Metformin
100 mg/day,AMOUNT_DRUG,Vildagliptin
